time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
8185.313805	10.421310	6.137982	1.697840	167
8186.383807	9.341643	6.152976	1.518232	168
8187.384886	9.969039	6.154209	1.619873	169
8188.453910	9.705382	6.144457	1.579535	170
8189.469141	10.086161	6.155393	1.638589	171
8190.520910	10.275393	6.151154	1.670482	172
8191.532035	9.894899	6.153673	1.607967	173
8192.592656	10.321385	6.148801	1.678601	174
8193.605650	9.836729	6.151367	1.599113	175
8194.661815	10.001844	6.153404	1.625417	176
8195.679657	10.236431	6.147696	1.665084	177
8196.733120	9.648945	6.138776	1.571803	178
8197.750022	10.066705	6.161463	1.633817	179
8198.804207	10.309044	6.141837	1.678495	180
8199.819897	10.094974	6.129717	1.646891	181
8200.877342	10.152192	6.143251	1.652576	182
8201.888037	10.801284	6.159492	1.753600	183
8202.950753	9.700092	6.149638	1.577344	184
8203.961605	10.289076	6.155152	1.671620	185
8205.020974	10.024062	6.150398	1.629823	186
8206.032926	10.280541	6.156824	1.669780	187
8207.092100	10.118820	6.143431	1.647096	188
8208.102331	10.655574	6.156217	1.730864	189
8209.164876	9.883730	6.135731	1.610848	190
8210.175265	10.496552	6.142145	1.708939	191
8211.234103	10.171262	6.146023	1.654934	192
8212.247982	10.218951	6.148292	1.662080	193
8213.304466	10.409091	6.159484	1.689929	194
8214.318119	10.594533	6.122409	1.730452	195
8215.375754	10.039717	6.159590	1.629933	196
8216.391943	10.434422	6.140373	1.699314	197
8217.446768	10.180364	6.151559	1.654924	198
8218.465126	9.975843	6.126747	1.628245	199
8219.516870	10.509429	6.145858	1.710002	200
8220.546000	10.744095	6.151860	1.746479	201
8221.588928	10.307697	6.154827	1.674734	202
8222.607004	10.371262	6.153493	1.685427	203
8223.661504	10.290773	6.146841	1.674157	204
8224.674199	10.398467	6.114320	1.700674	205
8225.735487	10.277575	6.155311	1.669708	206
8226.744479	10.318316	6.146791	1.678651	207
8227.809059	10.360128	6.150300	1.684492	208
8228.814103	10.432852	6.133781	1.700884	209
8229.881520	10.280757	6.148542	1.672064	210
8230.884458	10.662022	6.157345	1.731594	211
8231.953214	10.002150	6.154288	1.625233	212
8232.956289	10.567739	6.150790	1.718111	213
8234.023835	10.280267	6.151313	1.671231	214
8235.027710	10.771022	6.148887	1.751703	215
8236.104639	10.538716	6.156096	1.711916	216
8237.100885	10.557125	6.151056	1.716311	217
8238.163153	10.279481	6.153288	1.670567	218
8239.173608	10.671564	6.121835	1.743197	219
8240.233624	10.278264	6.149339	1.671442	220
8241.244527	10.872208	6.148585	1.768246	221
8242.304067	10.224441	6.154902	1.661187	222
8243.317740	10.557562	6.137099	1.720285	223
8244.373928	10.515910	6.149951	1.709918	224
8245.389099	10.654995	6.145393	1.733819	225
8246.445938	10.584608	6.146955	1.721927	226
8247.470019	11.139240	6.147639	1.811954	227
8248.517886	10.252419	6.121646	1.674781	228
8249.531657	10.588876	6.120668	1.730020	229
8250.589003	10.450398	6.157316	1.697233	230
8251.601968	10.622709	6.113825	1.737490	231
8252.661205	10.380140	6.131011	1.693055	232
8253.671990	10.805940	6.150022	1.757057	233
8254.734466	10.454266	6.141404	1.702260	234
8255.742140	10.825264	6.150141	1.760165	235
8256.807116	10.390724	6.151748	1.689069	236
8257.812008	10.937523	6.153068	1.777572	237
8258.880283	10.376753	6.152350	1.686633	238
8259.882994	10.766362	6.132117	1.755733	239
8260.951162	10.441854	6.122109	1.705598	240
8261.955041	10.782615	6.153867	1.752169	241
8263.021880	10.428738	6.160650	1.692798	242
8264.026841	10.820247	6.126074	1.766261	243
8265.091037	10.440637	6.120424	1.705868	244
8266.099748	10.676529	6.145216	1.737373	245
8267.159880	10.838906	6.147785	1.763059	246
8268.173007	10.650770	6.160031	1.729012	247
8269.229790	10.806844	6.138074	1.760625	248
8270.246030	10.758195	6.137610	1.752831	249
8271.299954	10.818686	6.146995	1.759996	250
8272.318660	10.635113	6.109046	1.740879	251
8273.371182	10.621529	6.157412	1.724999	252
8274.390596	10.670500	6.158987	1.732509	253
8275.441197	10.780278	6.149107	1.753145	254
8276.462228	10.638053	6.132984	1.734564	255
8277.513220	10.839127	6.152980	1.761606	0
8278.533694	10.759255	6.144203	1.751123	1
8279.584965	10.602356	6.121213	1.732068	2
8280.613317	11.186813	6.149735	1.819072	3
8281.657152	10.563384	6.151704	1.717148	4
8282.675344	10.720515	6.123449	1.750732	5
8283.737068	10.966021	6.147842	1.783718	6
8284.745434	11.006273	6.148407	1.790102	7
8285.799599	10.787569	6.153788	1.752997	8
8286.817963	10.671141	6.127743	1.741447	9
8287.871080	10.570941	6.142866	1.720848	10
8288.889746	10.736436	6.155354	1.744244	11
8289.940524	10.864309	6.129827	1.772368	12
8290.960636	10.835994	6.137201	1.765625	13
8292.012621	10.838318	6.158833	1.759801	14
8293.032193	11.010409	6.146284	1.791393	15
8294.083695	10.711627	6.120643	1.750082	16
8295.103972	10.809412	6.127079	1.764203	17
8296.155349	10.771651	6.149377	1.751666	18
8297.173853	10.799724	6.152215	1.755420	19
8298.227129	10.790555	6.130579	1.760120	20
8299.244072	10.763619	6.151467	1.749765	21
8300.300233	10.824756	6.127926	1.766463	22
8301.313387	10.907457	6.147921	1.774170	23
8302.373016	10.807044	6.140022	1.760099	24
8303.383517	10.994438	6.135955	1.791806	25
8304.445791	10.762159	6.149422	1.750109	26
8305.464252	11.237262	6.146831	1.828139	27
8306.518098	10.920826	6.151126	1.775419	28
8307.523323	11.104813	6.150361	1.805555	29
8308.590132	10.697190	6.150758	1.739166	30
8309.595885	11.026037	6.152943	1.791994	31
8310.661111	10.670833	6.149116	1.735344	32
8311.668041	10.993611	6.148806	1.787926	33
8312.732347	10.770659	6.147597	1.752011	34
8313.739324	11.132433	6.140168	1.813050	35
8314.802115	10.911202	6.160257	1.771225	36
8315.811749	10.822201	6.116941	1.769218	37
8316.882903	11.208112	6.150745	1.822236	38
8317.883291	11.057949	6.159265	1.795336	39
8318.944264	10.564270	6.119516	1.726324	40
8319.954436	11.120420	6.141814	1.810609	41
8321.014586	10.801508	6.150522	1.756194	42
8322.025985	11.125229	6.150718	1.808769	43
8323.086114	10.933389	6.155192	1.776287	44
8324.097188	11.013451	6.135355	1.795080	45
8325.158043	10.807425	6.154121	1.756128	46
8326.167828	11.097972	6.150923	1.804278	47
8327.229595	10.625546	6.144186	1.729366	48
8328.238195	11.110340	6.156293	1.804713	49
8329.302665	10.773599	6.152445	1.751109	50
8330.307794	11.266376	6.156541	1.829985	51
8331.373853	10.929743	6.142790	1.779280	52
8332.379916	11.104701	6.142238	1.807924	53
8333.445551	10.799607	6.154259	1.754819	54
8334.452018	11.191172	6.152007	1.819109	55
8335.517494	10.600099	6.134868	1.727845	56
8336.523562	11.049714	6.152628	1.795934	57
8337.586391	10.848804	6.118185	1.773206	58
8338.594286	11.101084	6.153471	1.804036	59
8339.656794	11.008775	6.149946	1.790061	60
8340.667087	11.064744	6.150989	1.798856	61
8341.726697	10.811590	6.117253	1.767393	62
8342.739756	10.967605	6.147147	1.784178	63
8343.795650	11.012110	6.160951	1.787405	64
8344.814038	10.797475	6.137180	1.759354	65
8345.865845	11.027592	6.154609	1.791762	66
8346.886440	10.951331	6.152244	1.780055	67
8347.935738	11.155858	6.107874	1.826472	68
8348.957270	10.967514	6.149334	1.783529	69
8350.007382	11.009752	6.124993	1.797513	70
8351.028631	10.863025	6.140386	1.769111	71
8352.078996	10.892466	6.156958	1.769131	72
8353.101220	10.928176	6.138710	1.780207	73
8354.150011	11.075745	6.141131	1.803535	74
8355.171608	11.110157	6.147926	1.807139	75
8356.221210	11.073298	6.150669	1.800341	76
8357.242704	10.976751	6.149706	1.784923	77
8358.292301	11.007705	6.151942	1.789306	78
8359.313928	10.961003	6.134471	1.786789	79
8360.363879	10.892104	6.114775	1.781276	80
8361.385630	11.156829	6.150582	1.813947	81
8362.434239	11.098249	6.125472	1.811820	82
8363.457241	10.974023	6.148098	1.784946	83
8364.506014	11.027123	6.148195	1.793555	84
8365.528846	10.894835	6.138852	1.774735	85
8366.577753	11.033787	6.154414	1.792825	86
8367.598159	11.111047	6.150566	1.806508	87
8368.648613	11.094931	6.144765	1.805591	88
8369.670290	11.091336	6.147767	1.804125	89
8370.720126	11.035596	6.151428	1.793989	90
8371.740912	10.957355	6.137729	1.785246	91
8372.792659	10.952430	6.146159	1.781996	92
8373.811025	11.039734	6.149748	1.795152	93
8374.874604	11.440327	6.161517	1.856739	94
8375.881874	10.964069	6.140647	1.785491	95
8376.936128	11.159481	6.152091	1.813933	96
8377.950924	11.125504	6.151988	1.808441	97
8379.009300	10.959477	6.148424	1.782486	98
8380.020695	11.193603	6.144191	1.821819	99
8381.081379	11.068091	6.138105	1.803177	100
8382.092282	10.996355	6.149966	1.788035	101
8383.153203	11.112700	6.146114	1.808086	102
8384.173593	11.505035	6.155818	1.868969	103
8385.224205	10.978339	6.127442	1.791668	104
8386.233388	11.222468	6.154868	1.823349	105
8387.297088	10.765314	6.140409	1.753192	106
8388.304632	11.253420	6.145389	1.831198	107
8389.366327	11.059041	6.153320	1.797248	108
8390.377473	10.994368	6.144505	1.789301	109
8391.437348	11.167654	6.154845	1.814450	110
8392.448746	11.109136	6.146221	1.807474	111
8393.508852	10.959886	6.151714	1.781599	112
8394.519643	11.182026	6.142302	1.820495	113
8395.580125	10.933322	6.122141	1.785866	114
8396.590693	11.156426	6.154543	1.812714	115
8397.661632	11.387004	6.150533	1.851385	116
8398.662095	11.084333	6.147939	1.802935	117
8399.722403	10.983001	6.150545	1.785696	118
8400.733166	11.098326	6.129776	1.810560	119
8401.793812	10.980953	6.153795	1.784420	120
8402.803194	11.169401	6.129020	1.822380	121
8403.866545	10.872614	6.127194	1.774485	122
8404.874733	11.211049	6.152857	1.822088	123
8405.947336	11.513917	6.146955	1.873109	124
8406.946263	11.020976	6.144854	1.793529	125
8408.008712	10.974862	6.137141	1.788270	126
8409.016901	11.147923	6.153131	1.811748	127
8410.078144	11.087519	6.147488	1.803585	128
8411.089561	11.198615	6.152938	1.820044	129
8412.148947	10.916326	6.137555	1.778612	130
8413.161589	11.115363	6.136757	1.811276	131
8414.218962	11.097867	6.126996	1.811307	132
8415.234376	10.855463	6.140468	1.767856	133
8416.289487	10.977546	6.111348	1.796256	134
8417.307176	11.023155	6.163452	1.788471	135
8418.359027	11.137834	6.157927	1.808699	136
8419.378858	11.064989	6.147157	1.800017	137
8420.429040	11.290988	6.150520	1.835778	138
8421.451037	10.868510	6.129364	1.773187	139
8422.500417	11.110106	6.127400	1.813185	140
8423.521753	11.035716	6.138453	1.797801	141
8424.582099	11.486248	6.144363	1.869396	142
8425.593494	11.131783	6.140879	1.812735	143
8426.641098	11.201530	6.149472	1.821543	144
